"exporterCountry","2015"
"Andorra",2
"Argentina",54
"Australia",141
"Austria",180
"Azerbaijan",3
"Bahamas",1
"Bahrain",3
"Bangladesh",1
"Barbados",5
"Belgium",60
"Bolivia",20
"Botswana",3
"Brazil",164
"Bulgaria",1
"Burundi",1
"Cambodia",4
"Cameroon",1
"Canada",244
"Cayman Islands",1
"Chad",3
"Chile",7
"China",203
"Colombia",84
"Congo [DRC]",1
"Cyprus",1
"Czech Republic",3
"Denmark",30
"Dominican Republic",6
"Egypt",1
"Estonia",2
"Ethiopia",2
"Finland",20
"France",1796
"Gabon",2
"Georgia",7
"Germany",417
"Greece",25
"Guadeloupe",1
"Guyana",1
"Honduras",4
"Hong Kong",293
"India",20
"Indonesia",190
"Ireland",7
"Israel",14
"Italy",2267
"Jamaica",2
"Japan",333
"Jordan",5
"Kazakhstan",8
"Kenya",4
"Kuwait",60
"Laos",1
"Latvia",3
"Lebanon",34
"Luxembourg",73
"Macau",42
"Madagascar",20
"Malawi",8
"Malaysia",115
"Mali",2
"Malta",7
"Mauritius",29
"Mexico",260
"Monaco",23
"Mongolia",4
"Morocco",12
"Mozambique",9
"Netherlands",262
"New Zealand",24
"Nicaragua",8
"Nigeria",3
"Norway",24
"Panama",11
"Papua New Guinea",16
"Paraguay",1
"Peru",18
"Philippines",29
"Portugal",58
"Qatar",37
"Romania",6
"Russia",28
"Saint Kitts and Nevis",1
"San Marino",17
"Saudi Arabia",2
"Senegal",42
"Serbia",7
"Singapore",798
"Slovenia",7
"South Africa",229
"South Georgia and the South Sandwich Islands",1
"South Korea",381
"Spain",461
"Sudan",3
"Swaziland",3
"Sweden",23
"Switzerland",1915
"Taiwan",61
"Tanzania",1
"Thailand",422
"Togo",2
"Trinidad and Tobago",1
"Tunisia",8
"Turkey",89
"Uganda",2
"Ukraine",7
"United Arab Emirates",170
"United Kingdom",369
"United States",559
"Uruguay",2
"Venezuela",6
"Vietnam",131
"Western Sahara",3
"Zambia",8
"Zimbabwe",43
