"exporterCountry","2016"
"Albania",1
"Andorra",1
"Antigua and Barbuda",1
"Argentina",50
"Aruba",3
"Australia",153
"Austria",152
"Azerbaijan",2
"Bangladesh",2
"Barbados",6
"Belarus",1
"Belgium",65
"Belize",1
"Bolivia",18
"Botswana",6
"Brazil",126
"Bulgaria",2
"Cambodia",4
"Canada",181
"Chad",1
"Chile",10
"China",206
"Colombia",83
"Costa Rica",1
"Croatia",2
"Cyprus",1
"Czech Republic",8
"Denmark",33
"Dominica",1
"Dominican Republic",4
"Estonia",5
"Ethiopia",1
"Faroe Islands",1
"Finland",18
"France",1625
"Georgia",4
"Germany",365
"Ghana",5
"Gibraltar",1
"Greece",15
"Honduras",1
"Hong Kong",477
"Hungary",1
"Iceland",4
"India",12
"Indonesia",202
"Iran",1
"Iraq",1
"Ireland",9
"Israel",8
"Italy",2126
"Jamaica",5
"Japan",351
"Jersey",3
"Kazakhstan",12
"Kenya",5
"Kuwait",61
"Laos",1
"Latvia",1
"Lebanon",40
"Lithuania",3
"Luxembourg",59
"Macau",46
"Madagascar",17
"Malawi",9
"Malaysia",132
"Mali",1
"Malta",10
"Mauritius",24
"Mexico",239
"Micronesia",2
"Monaco",52
"Mongolia",4
"Morocco",12
"Mozambique",9
"Netherlands",225
"New Zealand",23
"Nicaragua",10
"Nigeria",1
"Norway",16
"Oman",2
"Panama",16
"Papua New Guinea",12
"Peru",22
"Philippines",27
"Poland",1
"Portugal",49
"Qatar",54
"Romania",10
"Russia",25
"Saint Kitts and Nevis",2
"San Marino",13
"Saudi Arabia",4
"Senegal",55
"Serbia",3
"Singapore",765
"Slovenia",14
"South Africa",169
"South Korea",366
"Spain",433
"Sudan",1
"Suriname",2
"Sweden",7
"Switzerland",1728
"Syria",1
"Taiwan",54
"Thailand",482
"Tunisia",10
"Turkey",99
"Turks and Caicos Islands",1
"Uganda",2
"Ukraine",13
"United Arab Emirates",162
"United Kingdom",370
"United States",470
"Uruguay",8
"Venezuela",3
"Vietnam",135
"Zambia",9
"Zimbabwe",49
