"origin","country"
"Afghanistan",1
"Argentina",347
"Australia",491
"Austria",4
"Bangladesh",1
"Bolivia",280
"Brazil",31
"Cambodia",35
"Cameroon",43
"Canada",32
"Chad",152
"Chile",1
"China",27
"Colombia",489
"Czech Republic",1
"Ethiopia",1
"Finland",3
"France",32
"Germany",2
"Ghana",11
"Guatemala",3
"Guinea-Bissau",1
"Guyana",6
"Honduras",4
"Hong Kong",1
"Hungary",1
"India",10
"Indonesia",1414
"Israel",8
"Italy",3
"Japan",3
"Kazakhstan",1
"Kenya",41
"Laos",199
"Macau",10
"Madagascar",27
"Malawi",62
"Malaysia",432
"Mali",192
"Mexico",5
"Mozambique",70
"Namibia",32
"Nicaragua",2
"Nigeria",12
"Panama",2
"Papua New Guinea",316
"Paraguay",38
"Peru",69
"Philippines",57
"Portugal",1
"Russia",2
"Saudi Arabia",1
"Sierra Leone",6
"Singapore",27
"South Africa",381
"South Korea",1
"Spain",2
"Sudan",91
"Switzerland",1
"Tanzania",6
"Thailand",262
"Timor-Leste",1
"Togo",5
"Uganda",1
"Ukraine",1
"United Kingdom",1
"United States",1480
"Venezuela",204
"Vietnam",1047
"Zambia",154
"Zimbabwe",779
